ID,amount,Interest_rate_spread,loan_limit,loan_purpose,property_value,income,Gender,business_or_commercial,default
159142,156500,0.322,cf,p3,2508000,9960,Sex Not Available,nob/c,0
25129,256500,0.6868,cf,p3,388000,7320,Non-binary,nob/c,0
73394,336500,0.9645,cf,no info,408000,,Sex Not Available,b/c,0
81550,566500,,cf,p1,,17940,Female,nob/c,1
117354,546500,1.7258,cf,p1,568000,11580,Non-binary,b/c,0
126794,216500,0.2584,cf,p1,268000,13920,Sex Not Available,nob/c,0
42520,646500,1.0298,cf,p1,688000,9120,Male,nob/c,0
170732,456500,,cf,no info,,4560,Male,nob/c,1
56671,416500,0.0601,cf,no info,1008000,14820,Male,nob/c,0
96256,276500,,cf,p3,408000,2640,Male,nob/c,1
48384,356500,0.2043,cf,p3,528000,4380,Non-binary,nob/c,0
145429,136500,-0.1293,cf,p3,628000,5820,Male,nob/c,0
125527,476500,0.0215,cf,no info,558000,8160,Male,nob/c,0
64934,496500,0.3552,cf,no info,648000,11100,Male,nob/c,0
142274,86500,1.0052,ncf,p1,118000,2040,Female,nob/c,0
36207,256500,0.8352,cf,p3,428000,7740,Female,nob/c,0
127818,466500,-0.7231,cf,no info,508000,,Non-binary,nob/c,0
57013,226500,0.4456,cf,p3,328000,3960,Sex Not Available,nob/c,0
81425,336500,0.0194,cf,p1,518000,3360,Female,nob/c,0
35550,386500,-0.0467,cf,p3,518000,4140,Male,nob/c,0
124564,206500,0.29,cf,no info,608000,5700,Female,nob/c,0
120721,326500,-0.0922,cf,no info,548000,4440,Female,nob/c,0
113584,206500,0.3331,cf,no info,398000,3900,Male,nob/c,0
119998,296500,0.1273,cf,p3,388000,10560,Non-binary,nob/c,0
106688,306500,-0.1164,cf,no info,1128000,4140,Female,nob/c,0
106122,316500,0.0731,cf,p1,378000,9960,Male,nob/c,0
143021,226500,0.258,cf,p3,278000,3060,Male,nob/c,0
130759,106500,1.4429,cf,p2,158000,10860,Non-binary,nob/c,0
110900,226500,,,p3,,6180,Sex Not Available,nob/c,1
105849,326500,,cf,p3,568000,4440,Male,nob/c,1
99769,396500,1.0759,cf,p1,428000,12180,Female,nob/c,0
101147,186500,-0.0894,cf,p3,358000,5520,Male,nob/c,0
95381,526500,0.7578,cf,p3,888000,11580,Sex Not Available,nob/c,0
30653,266500,0.521,cf,p1,278000,3540,Non-binary,b/c,0
71141,566500,0.1632,ncf,no info,958000,8340,Non-binary,nob/c,0
40890,256500,1.202,cf,p3,1308000,18000,Sex Not Available,nob/c,0
79317,476500,0.1363,cf,no info,688000,7440,Male,nob/c,0
152889,366500,-0.6602,cf,p3,458000,3360,Sex Not Available,nob/c,0
153620,226500,,cf,p2,458000,6960,Sex Not Available,nob/c,1
42536,176500,0.1076,cf,p1,208000,4140,Male,nob/c,0
34705,456500,,cf,no info,858000,7020,Sex Not Available,b/c,1
87525,466500,0.4028,ncf,p3,898000,19440,Male,nob/c,0
103330,106500,1.0333,cf,p3,218000,1380,Sex Not Available,nob/c,0
146906,296500,0.9291,cf,no info,338000,4140,Male,nob/c,0
29396,446500,,cf,no info,,7560,Non-binary,nob/c,1
52118,276500,0.7173,cf,no info,358000,5280,Non-binary,nob/c,0
152521,396500,0.0747,cf,p3,628000,7140,Non-binary,nob/c,0
125762,346500,,cf,no info,408000,6060,Male,b/c,1
126490,496500,,cf,no info,,8760,Male,nob/c,1
149150,206500,0.1514,cf,p1,278000,13860,Male,nob/c,0
87579,236500,1.2097,cf,no info,518000,14880,Female,nob/c,0
82141,356500,-0.1713,cf,no info,358000,,Female,nob/c,0
155467,486500,-0.1575,cf,no info,908000,7800,Non-binary,nob/c,0
70125,166500,0.5699,cf,no info,218000,3300,Sex Not Available,nob/c,0
85789,366500,,cf,p3,348000,6120,Male,nob/c,1
32141,266500,0.3191,cf,no info,328000,4080,Sex Not Available,nob/c,0
149735,606500,0.4526,ncf,p2,798000,17700,Non-binary,nob/c,0
46540,586500,0.7085,cf,no info,718000,,Sex Not Available,b/c,0
104557,836500,0.2628,ncf,p3,1308000,19320,Sex Not Available,nob/c,0
146163,136500,0.7311,cf,p3,278000,4560,Sex Not Available,b/c,0
147438,186500,1.914,cf,p1,188000,2640,Male,b/c,0
42650,236500,0.0459,cf,no info,508000,3900,Sex Not Available,nob/c,0
152250,486500,,cf,p1,448000,10680,Sex Not Available,nob/c,1
44563,426500,0.9704,cf,p3,608000,9240,Sex Not Available,nob/c,0
66679,346500,-0.7206,cf,no info,348000,,Sex Not Available,nob/c,0
104304,136500,0.9261,cf,no info,208000,3900,Female,nob/c,0
161091,566500,-0.143,cf,no info,908000,9120,Non-binary,nob/c,0
58395,706500,0.117,cf,no info,918000,15660,Male,nob/c,0
82492,116500,2.0404,cf,p1,148000,5640,Sex Not Available,nob/c,0
98795,146500,0.3602,cf,p1,148000,2220,Sex Not Available,nob/c,0
106272,336500,-0.0782,cf,p3,498000,3360,Non-binary,nob/c,0
128527,486500,-0.08,ncf,p1,468000,9360,Sex Not Available,nob/c,0
163276,266500,,cf,no info,,4140,Non-binary,nob/c,1
108824,356500,-0.432,cf,p3,458000,5100,Non-binary,nob/c,0
66371,296500,0.1802,cf,p1,318000,3420,Female,nob/c,0
83477,356500,,cf,p3,388000,10200,Non-binary,b/c,1
157684,426500,0.648,cf,p3,538000,7620,Female,b/c,0
119619,266500,,cf,no info,288000,6480,Male,nob/c,1
35014,156500,,cf,p3,228000,1860,Female,b/c,1
55827,616500,0.7146,cf,p3,718000,11100,Non-binary,b/c,0
111884,486500,-0.1292,cf,p3,658000,13260,Non-binary,nob/c,0
91214,556500,0.8851,cf,p1,568000,6840,Non-binary,b/c,0
75765,276500,0.8955,cf,p1,268000,5040,Male,nob/c,0
158436,556500,-0.3378,cf,no info,558000,,Non-binary,nob/c,0
88188,666500,,cf,no info,,18900,Male,nob/c,1
144658,206500,,cf,p3,258000,5040,Male,nob/c,1
134784,356500,,cf,p1,,6540,Sex Not Available,nob/c,1
30136,416500,-0.0463,cf,no info,1208000,9300,Non-binary,nob/c,0
42470,116500,0.5468,cf,p1,148000,2220,Female,nob/c,0
86469,726500,1.3018,cf,p1,738000,12180,Non-binary,b/c,0
74252,306500,,cf,p1,,9420,Female,nob/c,1
124055,456500,0.0799,cf,no info,658000,5640,Sex Not Available,nob/c,0
65545,376500,0.2162,cf,p3,508000,5100,Non-binary,nob/c,0
150051,346500,1.4686,cf,no info,348000,,Male,b/c,0
41541,206500,-0.1616,cf,p3,348000,7380,Non-binary,nob/c,0
74830,416500,0.6019,cf,no info,1058000,64380,Sex Not Available,nob/c,0
88315,366500,-0.033,cf,p1,388000,6600,Male,nob/c,0
44670,326500,-0.6227,cf,no info,368000,,Sex Not Available,nob/c,0
42694,606500,0.5185,cf,p3,928000,19080,Sex Not Available,nob/c,0
79978,246500,0.5136,cf,no info,408000,10680,Non-binary,nob/c,0
69176,156500,0.3443,cf,p1,198000,1560,Sex Not Available,nob/c,0
71538,156500,0.3083,cf,p1,148000,3480,Male,nob/c,0
108360,486500,0.2992,cf,no info,518000,5580,Female,nob/c,0
131294,126500,0.9016,cf,no info,158000,,Sex Not Available,b/c,0
139446,116500,0.8973,cf,p3,198000,2160,Female,nob/c,0
69352,676500,0.2684,ncf,p3,1708000,8880,Female,nob/c,0
162832,36500,1.4272,cf,p2,158000,960,Male,b/c,0
136161,386500,0.6713,cf,no info,458000,7080,Sex Not Available,nob/c,0
126436,266500,0.3111,cf,p1,288000,3480,Sex Not Available,b/c,0
149217,316500,,cf,p1,378000,7920,Male,nob/c,1
109481,526500,0.3003,cf,no info,758000,7020,Male,nob/c,0
38275,406500,-0.199,cf,no info,1008000,5640,Non-binary,nob/c,0
122435,816500,,ncf,p1,1078000,15900,Non-binary,nob/c,1
148930,236500,,cf,p3,278000,4200,Male,nob/c,1
93573,466500,0.1293,cf,p1,558000,4980,Non-binary,nob/c,0
166242,76500,,cf,p3,108000,1080,Sex Not Available,b/c,1
159943,96500,,cf,p2,158000,3300,Non-binary,nob/c,1
72840,426500,-0.023,cf,no info,538000,5760,Non-binary,nob/c,0
129344,206500,0.8595,cf,p3,278000,2160,Sex Not Available,b/c,0
132517,646500,-0.0185,cf,no info,868000,9660,Non-binary,nob/c,0
41640,136500,1.0951,cf,p3,248000,4200,Male,nob/c,0
67404,456500,0.7377,cf,no info,568000,9720,Sex Not Available,nob/c,0
133937,186500,,cf,no info,258000,2580,Female,nob/c,1
162119,186500,,cf,p3,208000,6780,Female,nob/c,1
164101,206500,0.4146,,p3,408000,7140,Sex Not Available,nob/c,0
78128,166500,0.6667,cf,p3,278000,5400,Female,nob/c,0
97863,656500,0.3041,cf,p3,1088000,11100,Non-binary,nob/c,0
145172,296500,0.212,cf,no info,438000,4200,Male,nob/c,0
168359,406500,-0.0081,cf,no info,858000,11220,Female,nob/c,0
159658,436500,0.0116,cf,p3,758000,9000,Sex Not Available,nob/c,0
112024,206500,1.4158,cf,p3,298000,2760,Male,nob/c,0
144628,116500,0.737,cf,p3,158000,1260,Sex Not Available,nob/c,0
167647,316500,0.9699,cf,p1,328000,5400,Male,nob/c,0
120852,336500,0.083,cf,no info,468000,8280,Sex Not Available,nob/c,0
33260,316500,1.0464,cf,p1,328000,15540,Female,b/c,0
119459,176500,0.4415,cf,p3,238000,1860,Sex Not Available,nob/c,0
142157,126500,,cf,p3,258000,3000,Female,nob/c,1
150859,166500,0.6274,cf,p3,388000,6960,Male,nob/c,0
59886,356500,,ncf,p3,418000,,Sex Not Available,b/c,1
133854,306500,0.0431,cf,no info,528000,6420,Non-binary,nob/c,0
129861,436500,,cf,no info,,7800,Male,nob/c,1
92167,216500,,cf,no info,,3660,Male,b/c,1
84302,166500,,cf,p3,348000,4980,Sex Not Available,nob/c,1
94572,556500,,ncf,no info,738000,16140,Male,nob/c,1
78663,306500,0.7583,ncf,p3,358000,3780,Male,b/c,0
98346,556500,0.0275,cf,no info,568000,,Male,nob/c,0
158875,216500,,cf,p3,328000,3360,Sex Not Available,nob/c,1
75138,176500,0.8102,cf,no info,218000,5220,Sex Not Available,b/c,0
85574,316500,-0.0356,cf,no info,398000,4860,Male,nob/c,0
148078,386500,,cf,p1,478000,8220,Non-binary,nob/c,1
111829,186500,1.1915,cf,no info,218000,3120,Sex Not Available,b/c,0
71351,166500,,cf,p1,178000,720,Female,nob/c,1
44759,446500,0.2002,cf,p3,598000,5580,Non-binary,nob/c,0
68056,616500,1.1544,cf,p1,638000,9180,Non-binary,b/c,0
52227,346500,,cf,p3,388000,5220,Non-binary,nob/c,1
141181,416500,0.1633,cf,p3,658000,6480,Sex Not Available,nob/c,0
72374,726500,,cf,no info,,7740,Male,nob/c,1
150269,486500,-0.1198,cf,p2,878000,5460,Male,nob/c,0
137683,226500,0.1611,cf,no info,258000,4980,Sex Not Available,nob/c,0
65943,166500,0.5254,cf,no info,218000,3240,Female,nob/c,0
26760,426500,0.9248,cf,no info,468000,7740,Sex Not Available,b/c,0
133273,156500,1.4642,cf,p2,528000,7620,Male,nob/c,0
43461,366500,0.7397,cf,no info,458000,7680,Non-binary,nob/c,0
104908,136500,1.7656,cf,p1,148000,2100,Sex Not Available,b/c,0
46338,346500,0.4035,cf,p1,458000,4980,Male,nob/c,0
112862,266500,0.9397,cf,no info,338000,7260,Female,nob/c,0
39579,126500,1.1433,cf,p1,128000,1500,Male,nob/c,0
73377,346500,0.1474,,p1,368000,7320,Sex Not Available,nob/c,0
78826,166500,1.1025,cf,no info,188000,,Female,b/c,0
49060,526500,0.3551,cf,no info,768000,6960,Female,nob/c,0
123822,386500,0.2739,cf,p3,608000,8820,Female,nob/c,0
98618,156500,0.5479,cf,p1,178000,2700,Sex Not Available,nob/c,0
102907,156500,1.552,cf,p3,398000,6840,Non-binary,nob/c,0
56305,216500,,cf,p3,278000,7440,Sex Not Available,nob/c,1
32326,176500,0.3279,cf,p3,268000,2280,Sex Not Available,nob/c,0
163809,126500,1.3283,cf,p3,198000,3780,Male,nob/c,0
58792,286500,0.4332,cf,p3,368000,5220,Male,nob/c,0
51217,296500,-0.1589,cf,no info,518000,7920,Female,nob/c,0
54571,406500,-0.0696,cf,no info,508000,6480,Female,nob/c,0
48426,346500,0.0812,cf,p3,608000,7620,Sex Not Available,nob/c,0
81859,296500,-0.1791,cf,no info,588000,5460,Non-binary,nob/c,0
111749,446500,-0.0769,cf,no info,608000,12300,Non-binary,nob/c,0
145531,456500,-0.3474,cf,no info,998000,11340,Sex Not Available,nob/c,0
78973,256500,0.651,cf,no info,278000,3000,Sex Not Available,nob/c,0
116604,496500,0.4447,cf,no info,608000,7500,Male,nob/c,0
29293,726500,0.2268,ncf,p3,1018000,12780,Sex Not Available,nob/c,0
148072,196500,0.9417,cf,p1,228000,3420,Female,nob/c,0
41917,576500,-0.0603,cf,no info,698000,7500,Non-binary,nob/c,0
65585,476500,-0.0732,cf,p3,568000,13380,Sex Not Available,nob/c,0
143571,296500,-0.0317,cf,no info,408000,6420,Sex Not Available,nob/c,0
167464,376500,0.7249,cf,no info,408000,7320,Male,nob/c,0
139472,326500,0.4648,cf,p3,488000,5400,Non-binary,nob/c,0
100993,126500,1.2545,cf,p3,148000,2040,Female,b/c,0
108159,466500,0.0637,cf,no info,628000,7380,Non-binary,nob/c,0
139393,116500,1.0292,ncf,p1,128000,6240,Sex Not Available,nob/c,0
84191,366500,0.1235,cf,p1,458000,11220,Sex Not Available,nob/c,0
54409,356500,0.3019,cf,p3,478000,4080,Non-binary,nob/c,0
90954,86500,1.362,cf,p1,88000,1380,Sex Not Available,nob/c,0
46628,436500,1.1675,cf,p1,448000,7500,Female,b/c,0
97013,456500,0.296,cf,p3,668000,5160,Female,nob/c,0
149900,516500,0.165,cf,p3,758000,5820,Sex Not Available,nob/c,0
165709,646500,,cf,p3,628000,10380,Female,nob/c,1
148317,306500,0.9432,cf,p3,358000,5400,Sex Not Available,b/c,0
133085,126500,0.5295,cf,p3,188000,4440,Sex Not Available,nob/c,0
164176,326500,0.9181,cf,p3,418000,7080,Non-binary,nob/c,0
71592,426500,,cf,p3,,8100,Sex Not Available,nob/c,1
153378,436500,,cf,no info,,52140,Sex Not Available,nob/c,1
104003,136500,,cf,no info,188000,2820,Male,nob/c,1
54790,276500,,cf,p3,,1920,Male,nob/c,1
158381,256500,0.4981,cf,no info,498000,4680,Female,nob/c,0
62179,316500,,cf,p1,,4740,Male,b/c,1
130609,436500,,cf,p1,,6360,Male,nob/c,1
34997,486500,0.2332,cf,p1,738000,23460,Sex Not Available,nob/c,0
141354,96500,,cf,p3,218000,1740,Female,nob/c,1
143229,346500,1.0192,cf,p1,428000,7320,Sex Not Available,nob/c,0
51947,326500,0.8804,cf,no info,338000,,Non-binary,b/c,0
126143,406500,-0.0045,cf,p3,758000,10680,Male,nob/c,0
43233,256500,-0.1918,cf,p3,438000,3720,Non-binary,nob/c,0
58466,176500,0.633,cf,p1,198000,2220,Male,nob/c,0
161603,146500,1.2693,cf,p3,348000,4380,Sex Not Available,nob/c,0
30618,196500,0.5296,cf,no info,328000,2400,Sex Not Available,nob/c,0
56232,356500,0.7443,cf,p3,508000,5160,Female,b/c,0
121362,686500,-0.3088,cf,no info,808000,,Non-binary,nob/c,0
33229,336500,0.3736,cf,p3,688000,7080,Female,nob/c,0
84821,436500,,cf,p1,,13740,Non-binary,nob/c,1
33367,416500,,cf,p1,518000,4260,Sex Not Available,nob/c,1
136557,456500,1.1592,cf,p1,578000,11760,Non-binary,nob/c,0
34649,116500,,cf,no info,,4500,Male,nob/c,1
65940,556500,0.2101,,p1,878000,10740,Male,nob/c,0
131325,236500,,cf,p1,,3480,Male,nob/c,1
172860,496500,0.5876,cf,no info,568000,9840,Sex Not Available,nob/c,0
62298,446500,0.0341,cf,no info,528000,8220,Non-binary,nob/c,0
73071,346500,0.122,cf,p1,348000,4800,Non-binary,nob/c,0
47981,366500,,cf,no info,378000,,Male,nob/c,1
27605,86500,1.0832,cf,no info,118000,2520,Sex Not Available,b/c,0
103148,596500,0.3931,cf,no info,658000,5820,Male,nob/c,0
88836,146500,0.9365,cf,p3,188000,3240,Sex Not Available,b/c,0
101038,336500,0.4105,cf,p3,518000,3780,Non-binary,nob/c,0
119527,506500,0.252,ncf,p3,3708000,19680,Sex Not Available,nob/c,0
59603,336500,,cf,p1,358000,2640,Female,nob/c,1
86729,656500,-0.1844,,p3,1158000,14580,Male,nob/c,0
107252,136500,,cf,p3,198000,1860,Male,nob/c,1
150108,366500,0.2668,cf,no info,498000,6000,Non-binary,nob/c,0
46741,456500,0.1806,cf,p3,858000,4980,Female,nob/c,0
111480,196500,,cf,p3,,4080,Non-binary,nob/c,1
124823,156500,1.4024,cf,p3,188000,1980,Sex Not Available,b/c,0
114152,186500,,cf,p1,268000,2700,Female,nob/c,1
145824,486500,0.027,cf,no info,858000,6960,Sex Not Available,nob/c,0
69786,496500,0.3047,cf,no info,598000,12180,Non-binary,nob/c,0
169609,296500,0.5843,cf,no info,328000,5580,Non-binary,b/c,0
44500,106500,1.0983,cf,no info,508000,3120,Female,nob/c,0
103911,246500,0.1792,cf,p3,338000,5580,Sex Not Available,nob/c,0
88173,616500,0.0974,ncf,p3,1098000,6960,Non-binary,nob/c,0
100571,116500,1.6559,cf,p3,148000,2340,Female,b/c,0
54079,106500,0.6314,cf,p3,188000,2520,Sex Not Available,nob/c,0
169832,276500,0.5712,cf,p3,328000,3060,Sex Not Available,b/c,0
133518,406500,,cf,no info,488000,,Male,b/c,1
44690,126500,,,p2,238000,3660,Sex Not Available,nob/c,1
113450,306500,0.0604,cf,p1,328000,8100,Non-binary,nob/c,0
155852,346500,0.1041,cf,no info,878000,6120,Sex Not Available,nob/c,0
27194,306500,,cf,no info,,4380,Female,nob/c,1
167331,166500,,cf,no info,,3180,Non-binary,nob/c,1
156100,286500,-0.064,cf,no info,488000,8580,Non-binary,nob/c,0
102302,106500,0.5387,cf,p3,178000,1140,Male,nob/c,0
107892,606500,0.2338,cf,p3,1608000,9300,Male,nob/c,0
164279,136500,0.4626,cf,p1,158000,3000,Sex Not Available,nob/c,0
61539,256500,,cf,p1,,6900,Male,nob/c,1
80719,636500,-0.2535,ncf,p3,668000,6900,Male,nob/c,0
97999,186500,,cf,p3,,2460,Sex Not Available,nob/c,1
136431,436500,0.122,cf,no info,648000,8100,Male,nob/c,0
163078,236500,0.5573,cf,p3,358000,3420,Female,nob/c,0
116781,486500,0.0778,cf,p3,658000,8700,Female,nob/c,0
68932,346500,,cf,p3,,3660,Female,nob/c,1
158088,116500,,cf,p3,,3480,Female,nob/c,1
157154,506500,0.0306,,no info,568000,8400,Female,nob/c,0
126305,106500,1.03,cf,p2,208000,5760,Non-binary,nob/c,0
157958,426500,0.8486,cf,p1,438000,4920,Non-binary,b/c,0
30760,486500,0.3598,cf,p3,618000,10380,Sex Not Available,nob/c,0
102236,356500,-0.0151,cf,p1,448000,5160,Female,nob/c,0
165554,226500,0.2511,cf,no info,388000,2880,Sex Not Available,nob/c,0
53865,366500,-0.1564,cf,p3,408000,5280,Male,nob/c,0
33966,136500,,cf,p3,738000,8160,Female,nob/c,1
34850,216500,,cf,p1,,25800,Sex Not Available,nob/c,1
31539,156500,,cf,p1,,2760,Male,b/c,1
44859,146500,0.2727,cf,p1,148000,2220,Female,nob/c,0
37001,566500,-0.2186,ncf,no info,618000,,Non-binary,nob/c,0
81376,406500,,cf,p3,578000,3840,Male,nob/c,1
116799,316500,-0.1642,cf,no info,438000,8640,Non-binary,nob/c,0
117279,356500,0.2327,cf,p3,598000,4500,Sex Not Available,nob/c,0
55056,386500,0.2948,cf,no info,958000,21060,Non-binary,nob/c,0
62273,106500,,cf,no info,178000,1560,Sex Not Available,nob/c,1
155881,406500,0.5052,cf,p3,808000,5460,Non-binary,nob/c,0
75375,206500,-0.0485,cf,no info,558000,2100,Female,nob/c,0
80114,486500,-0.0154,cf,no info,558000,12540,Sex Not Available,nob/c,0
60194,236500,,cf,no info,288000,4440,Female,b/c,1
156336,236500,,cf,p1,,2940,Sex Not Available,nob/c,1
105312,116500,1.2275,cf,p1,118000,5220,Sex Not Available,nob/c,0
26326,536500,0.0203,cf,no info,728000,8040,Male,nob/c,0
114843,106500,0.3426,cf,p3,188000,1320,Female,nob/c,0
46837,186500,0.6476,cf,no info,228000,,Sex Not Available,b/c,0
29582,116500,1.0776,cf,no info,198000,4620,Male,nob/c,0
52515,286500,0.1906,cf,p3,308000,4440,Sex Not Available,nob/c,0
172775,126500,0.6378,cf,p3,238000,5040,Sex Not Available,nob/c,0
36600,326500,0.5169,cf,p3,378000,8880,Non-binary,b/c,0
40899,226500,0.7984,cf,p3,608000,8220,Non-binary,nob/c,0
73185,146500,0.7857,cf,p3,188000,2040,Female,b/c,0
78942,656500,-0.1076,cf,no info,778000,7920,Male,nob/c,0
55899,156500,1.282,cf,p1,168000,3180,Sex Not Available,nob/c,0
38802,126500,1.3863,cf,p3,328000,2520,Male,nob/c,0
131640,276500,0.986,cf,p3,388000,12960,Male,nob/c,0
112260,266500,,cf,no info,308000,,Sex Not Available,b/c,1
62738,136500,0.5443,cf,p3,198000,2220,Sex Not Available,nob/c,0
25246,796500,,ncf,p3,2398000,8880,Non-binary,nob/c,1
38559,406500,0.2886,cf,p3,678000,7200,Female,nob/c,0
125512,486500,-0.2235,cf,no info,708000,6000,Male,nob/c,0
171788,416500,0.7181,cf,no info,458000,,Non-binary,b/c,0
148778,346500,-0.248,cf,no info,428000,,Male,nob/c,0
60102,116500,,cf,p1,158000,6420,Female,nob/c,1
152743,486500,-0.1089,cf,no info,618000,6840,Male,nob/c,0
62090,286500,-0.0733,cf,no info,628000,5040,Male,nob/c,0
124210,136500,0.584,ncf,p3,308000,2280,Female,nob/c,0
166419,896500,,ncf,p3,1228000,19740,Sex Not Available,nob/c,1
164655,156500,1.1875,cf,p1,208000,6180,Male,nob/c,0
172071,236500,,,p3,408000,5520,Non-binary,b/c,1
90420,136500,,cf,p3,338000,4140,Non-binary,nob/c,1
153460,166500,0.3743,cf,p1,228000,6300,Sex Not Available,nob/c,0
170338,656500,0.3753,cf,p1,818000,10620,Male,nob/c,0
134472,296500,0.5777,cf,p3,378000,3300,Non-binary,nob/c,0
53788,316500,-0.2466,cf,no info,318000,,Non-binary,nob/c,0
47105,366500,-0.036,cf,p1,408000,5100,Male,nob/c,0
100418,156500,1.0503,cf,p2,288000,2760,Non-binary,nob/c,0
128110,556500,-0.0109,cf,no info,1158000,5700,Female,nob/c,0
142185,326500,-0.6829,cf,no info,348000,,Non-binary,nob/c,0
36523,336500,0.3722,cf,no info,428000,9960,Sex Not Available,nob/c,0
135185,706500,,cf,p3,1308000,11400,Non-binary,nob/c,1
56252,216500,,cf,p1,,3480,Female,b/c,1
165321,616500,-0.2616,cf,no info,1338000,12420,Male,nob/c,0
58734,886500,0.301,ncf,p3,1908000,13680,Non-binary,nob/c,0
106595,226500,1.011,cf,p3,268000,4020,Male,b/c,0
35085,456500,0.3067,cf,p3,788000,7200,Female,nob/c,0
131632,156500,0.3318,cf,no info,208000,7140,Non-binary,nob/c,0
79133,586500,0.386,cf,no info,1008000,10500,Male,nob/c,0
158443,96500,,cf,p3,358000,2280,Male,b/c,1
83209,166500,,cf,no info,238000,5340,Male,nob/c,1
71852,326500,1.1487,cf,p1,348000,5100,Male,nob/c,0
137887,406500,0.3973,cf,no info,458000,5280,Sex Not Available,nob/c,0
88407,186500,0.6239,cf,no info,248000,4800,Sex Not Available,nob/c,0
103078,446500,0.3056,cf,no info,508000,12600,Sex Not Available,nob/c,0
35918,136500,,cf,no info,348000,5400,Sex Not Available,nob/c,1
156739,186500,0.7533,cf,no info,318000,4440,Male,nob/c,0
75255,136500,0.7151,cf,p3,208000,5280,Sex Not Available,nob/c,0
155441,276500,0.2506,cf,p1,348000,5880,Sex Not Available,nob/c,0
171866,416500,,cf,no info,,4980,Sex Not Available,nob/c,1
119526,196500,0.8161,cf,p3,318000,3000,Non-binary,nob/c,0
48282,176500,,cf,no info,188000,4440,Male,nob/c,1
131675,416500,,cf,p3,,7020,Sex Not Available,nob/c,1
103050,606500,,cf,no info,728000,,Non-binary,nob/c,1
89342,486500,0.7225,cf,p1,658000,6240,Female,nob/c,0
